Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
13.0,-6.5,-4.21,6.11,4.19
13.0,-6.5,-4.21,6.11,4.19
15.0,-6.47,-4.16,6.04,4.19
18.0,-6.53,-4.18,6.16,4.18
20.0,-6.39,-4.11,6.22,4.18
23.0,-6.49,-4.11,6.16,4.19
25.0,-6.43,-4.16,6.21,4.19
28.0,-6.39,-4.11,6.18,4.17
30.0,-6.32,-4.11,6.18,4.19
33.0,-6.38,-4.18,6.19,4.2
35.0,-6.44,-4.16,6.12,4.19
38.0,-6.53,-4.25,6.21,4.19
40.0,-6.51,-4.12,6.37,4.17
43.0,-6.48,-4.18,6.12,4.19
45.0,-6.54,-4.02,6.15,4.19
48.0,-6.54,-4.01,6.09,4.19
50.0,-6.6,-4.1,6.14,4.19
53.0,-6.62,-4.08,6.16,4.19
55.0,-6.65,-4.03,6.06,4.19
58.0,-6.65,-3.98,6.1,4.18
60.0,-6.62,-4.03,6.1,4.17
63.0,-6.68,-3.96,6.17,4.17
65.0,-6.61,-4.0,5.89,4.17
68.0,-6.76,-4.0,6.04,4.17
70.0,-6.74,-4.0,6.11,4.2
73.0,-6.72,-3.93,6.01,4.18
75.0,-6.66,-3.95,6.03,4.19
78.0,-6.72,-3.85,5.89,4.19
80.0,-6.75,-3.85,5.98,4.19
83.0,-6.84,-3.81,5.89,4.17
85.0,-6.84,-3.86,5.92,4.19
88.0,-6.86,-3.79,5.91,4.2
90.0,-6.87,-3.74,5.87,4.19
93.0,-6.83,-3.72,5.83,4.15
95.0,-6.82,-3.74,5.9,4.17
98.0,-6.83,-3.71,5.93,4.2
100.0,-6.78,-3.7,5.99,4.17
103.0,-6.73,-3.73,6.07,4.2
113.0,-6.53,-3.93,6.31,4.19
115.0,-6.49,-3.91,6.3,4.19
118.0,-6.58,-4.02,5.91,4.19
120.0,-6.41,-3.95,6.38,4.2
123.0,-6.45,-3.93,6.27,4.19
125.0,-6.51,-3.91,5.94,4.17
128.0,-6.56,-4.1,6.18,4.19
130.0,-6.49,-4.0,6.5,4.19
133.0,-6.48,-4.05,6.42,4.2
135.0,-6.48,-4.06,6.18,4.2
138.0,-6.59,-4.07,6.07,4.17
140.0,-6.62,-4.06,6.33,4.19
143.0,-6.64,-4.03,6.31,4.19
145.0,-6.52,-4.03,6.18,4.19
147.0,-6.56,-4.02,6.24,4.18
150.0,-6.66,-3.99,6.15,4.19
152.0,-6.73,-3.95,6.11,4.19
155.0,-6.73,-4.0,6.11,4.19
157.0,-6.8,-3.93,6.0,4.19
160.0,-6.84,-3.89,5.99,4.19
162.0,-6.9,-3.93,5.98,4.19
