Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
11.0,-1.42,8.86,1.79,4.22
11.0,-1.42,8.86,1.79,4.22
14.0,-1.41,9.03,1.73,4.22
16.0,-1.19,9.09,2.78,4.22
19.0,-1.3,9.02,1.91,4.2
21.0,-1.34,9.04,2.66,4.22
24.0,-1.74,8.97,0.67,4.22
26.0,-1.68,9.29,0.97,4.2
29.0,-1.64,9.21,2.68,4.2
31.0,-1.93,9.13,3.04,4.22
34.0,-2.15,9.12,2.72,4.22
36.0,-2.19,9.18,2.69,4.22
39.0,-2.28,9.11,2.56,4.2
41.0,-2.27,9.04,2.51,4.22
44.0,-2.38,9.12,2.58,4.2
46.0,-2.51,9.24,2.68,4.2
49.0,-2.6,9.15,2.58,4.22
51.0,-2.4,9.33,2.83,4.22
54.0,-2.48,9.32,2.65,4.2
56.0,-2.36,9.4,2.58,4.2
59.0,-2.35,9.46,2.52,4.2
61.0,-2.21,9.42,2.57,4.2
64.0,-2.31,9.46,2.42,4.2
66.0,-2.29,9.35,2.51,4.2
69.0,-2.29,9.35,2.45,4.2
71.0,-2.33,9.3,2.64,4.22
74.0,-2.34,9.24,2.59,4.21
76.0,-2.2,9.28,2.6,4.22
78.0,-2.19,9.23,2.48,4.2
81.0,-2.02,9.17,2.71,4.2
84.0,-1.99,9.04,2.61,4.17
86.0,-1.84,9.08,2.95,4.19
88.0,-1.89,8.92,2.48,4.22
91.0,-1.79,9.17,2.64,4.19
93.0,-1.84,8.87,3.0,4.22
96.0,-1.85,8.66,3.14,4.21
98.0,-1.72,8.77,3.07,4.22
101.0,-1.6,8.79,3.08,4.2
103.0,-1.45,8.76,3.06,4.2
106.0,-1.32,8.76,2.78,4.21
108.0,-1.34,9.37,2.56,4.22
111.0,-1.42,8.94,2.87,4.2
113.0,-1.65,8.64,2.26,4.21
116.0,-1.68,8.6,2.47,4.2
118.0,-1.71,8.66,2.46,4.21
121.0,-1.72,8.77,2.6,4.21
123.0,-1.88,8.92,2.8,4.2
126.0,-1.97,9.22,2.61,4.2
128.0,-2.17,9.27,2.76,4.2
131.0,-2.33,9.25,2.57,4.22
133.0,-2.47,9.1,2.56,4.22
136.0,-2.54,9.04,2.57,4.2
138.0,-2.56,8.92,2.55,4.21
141.0,-2.52,8.89,2.65,4.2
143.0,-2.62,8.87,2.54,4.2
146.0,-2.72,9.0,2.57,4.2
148.0,-2.52,9.08,2.84,4.22
151.0,-2.58,8.96,2.59,4.22
153.0,-2.52,9.04,2.15,4.22
156.0,-2.5,9.0,2.39,4.22
158.0,-2.46,9.02,2.43,4.2
161.0,-2.33,9.07,2.39,4.2
163.0,-2.32,9.06,2.45,4.22
166.0,-2.21,8.99,2.48,4.21
168.0,-2.03,8.88,2.47,4.22
171.0,-2.0,8.76,2.39,4.2
173.0,-1.97,8.76,2.44,4.2
176.0,-1.94,8.67,2.46,4.22
183.0,-2.07,8.58,2.34,4.2
186.0,-2.13,8.53,2.35,4.19
188.0,-2.14,8.51,2.32,4.2
191.0,-2.07,8.53,2.23,4.22
193.0,-2.07,8.49,2.31,4.21
196.0,-2.03,8.53,2.31,4.2
198.0,-2.04,8.5,2.18,4.2
