Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
12.0,-0.62,9.44,2.76,4.17
12.0,-0.62,9.44,2.76,4.17
15.0,-0.58,9.4,2.79,4.17
17.0,-0.61,9.4,2.91,4.14
20.0,-0.63,9.26,2.86,4.17
22.0,-0.56,9.4,2.63,4.2
25.0,-0.61,9.16,2.87,4.17
27.0,-0.49,9.39,2.71,4.17
30.0,-0.55,9.42,3.0,4.17
32.0,-0.46,9.28,3.28,4.18
35.0,-0.6,9.29,2.77,4.19
37.0,-0.48,9.49,3.25,4.17
40.0,-0.59,9.28,2.75,4.17
42.0,-0.57,9.44,2.86,4.17
45.0,-0.6,9.42,3.15,4.15
47.0,-0.48,9.25,3.62,4.17
50.0,-0.6,9.38,2.72,4.17
52.0,-0.76,9.27,2.74,4.17
55.0,-0.76,9.49,2.24,4.17
57.0,-0.73,9.46,3.13,4.17
60.0,-0.7,9.41,3.45,4.19
62.0,-0.8,9.36,2.85,4.19
65.0,-0.68,9.69,2.7,4.17
67.0,-0.84,9.35,2.79,4.17
70.0,-0.58,9.54,2.98,4.17
72.0,-0.69,9.27,2.81,4.18
75.0,-0.7,9.34,2.64,4.19
77.0,-0.58,9.39,2.91,4.17
80.0,-0.61,9.35,2.66,4.19
82.0,-0.63,9.42,2.73,4.19
85.0,-0.64,9.49,2.6,4.17
87.0,-0.66,9.38,2.7,4.17
90.0,-0.67,9.44,2.74,4.17
92.0,-0.56,9.32,2.73,4.19
95.0,-0.48,9.29,2.63,4.17
97.0,-0.6,9.32,2.66,4.19
100.0,-0.56,9.3,2.64,4.17
102.0,-0.6,9.3,2.48,4.19
105.0,-0.58,9.39,2.57,4.17
107.0,-0.53,9.45,2.59,4.18
110.0,-0.52,9.41,2.64,4.19
112.0,-0.53,9.35,2.46,4.17
115.0,-0.48,9.34,2.42,4.17
117.0,-0.48,9.33,2.55,4.17
120.0,-0.52,9.38,2.46,4.14
122.0,-0.5,9.4,2.51,4.17
125.0,-0.49,9.36,2.55,4.17
127.0,-0.54,9.37,2.61,4.17
130.0,-0.54,9.33,2.49,4.17
132.0,-0.54,9.32,2.43,4.19
135.0,-0.65,9.4,2.55,4.19
137.0,-0.74,9.47,2.48,4.19
140.0,-0.78,9.45,2.46,4.19
142.0,-0.8,9.48,2.48,4.19
145.0,-0.75,9.5,2.45,4.17
147.0,-0.84,9.43,2.59,4.15
150.0,-0.86,9.38,2.52,4.17
152.0,-0.89,9.44,2.42,4.17
155.0,-0.86,9.41,2.5,4.17
157.0,-0.84,9.43,2.52,4.17
160.0,-0.9,9.41,2.36,4.17
162.0,-0.84,9.48,2.39,4.19
165.0,-0.74,9.5,2.39,4.17
167.0,-0.78,9.5,2.46,4.17
170.0,-0.84,9.46,2.44,4.19
172.0,-0.79,9.48,2.4,4.17
175.0,-0.76,9.46,2.37,4.2
185.0,-0.7,9.48,2.42,4.17
187.0,-0.58,9.48,2.5,4.17
190.0,-0.59,9.43,2.55,4.17
192.0,-0.61,9.43,2.54,4.17
195.0,-0.63,9.46,2.47,4.17
197.0,-0.6,9.41,2.51,4.17
199.0,-0.66,9.47,2.52,4.19
202.0,-0.59,9.38,2.49,4.17
204.0,-0.62,9.41,2.43,4.19
207.0,-0.63,9.41,2.54,4.17
209.0,-0.52,9.47,2.48,4.19
212.0,-0.53,9.42,2.55,4.17
214.0,-0.51,9.44,2.44,4.18
217.0,-0.53,9.42,2.39,4.17
219.0,-0.58,9.49,2.2,4.17
222.0,-0.62,9.39,2.46,4.14
224.0,-0.62,9.5,2.73,4.19
227.0,-0.54,9.6,2.61,4.18
229.0,-0.63,9.5,2.42,4.18
232.0,-0.57,9.5,2.34,4.17
234.0,-0.59,9.44,2.16,4.17
237.0,-0.54,9.37,2.17,4.17
239.0,-0.58,9.41,2.23,4.19
242.0,-0.51,9.42,2.23,4.17
244.0,-0.47,9.41,2.29,4.17
247.0,-0.51,9.45,2.3,4.17
249.0,-0.54,9.41,2.3,4.14
252.0,-0.49,9.5,2.28,4.12
254.0,-0.48,9.55,2.36,4.17
257.0,-0.51,9.57,2.21,4.19
259.0,-0.62,9.57,2.4,4.17
262.0,-0.57,9.58,2.28,4.17
264.0,-0.59,9.52,2.39,4.17
267.0,-0.51,9.51,2.38,4.17
269.0,-0.54,9.47,2.43,4.17
272.0,-0.48,9.5,2.46,4.19
274.0,-0.47,9.44,2.46,4.17
277.0,-0.5,9.44,2.38,4.17
279.0,-0.54,9.42,2.43,4.19
282.0,-0.56,9.48,2.4,4.19
284.0,-0.49,9.53,2.41,4.19
287.0,-0.55,9.49,2.4,4.19
289.0,-0.6,9.59,2.28,4.17
292.0,-0.57,9.54,2.39,4.19
294.0,-0.55,9.56,2.34,4.19
297.0,-0.68,9.52,2.4,4.17
299.0,-0.54,9.59,2.36,4.19
302.0,-0.49,9.55,2.27,4.19
304.0,-0.58,9.48,2.35,4.17
307.0,-0.57,9.48,2.34,4.17
309.0,-0.62,9.52,2.32,4.17
312.0,-0.57,9.46,2.35,4.17
314.0,-0.65,9.49,2.29,4.17
317.0,-0.64,9.5,2.32,4.17
319.0,-0.66,9.49,2.35,4.19
322.0,-0.62,9.47,2.38,4.17
324.0,-0.61,9.43,2.32,4.14
327.0,-0.7,9.41,2.34,4.19
329.0,-0.7,9.43,2.33,4.19
332.0,-0.69,9.45,2.27,4.19
334.0,-0.67,9.44,2.28,4.17
337.0,-0.67,9.41,2.32,4.17
339.0,-0.68,9.43,2.28,4.17
342.0,-0.68,9.4,2.25,4.17
344.0,-0.73,9.36,2.27,4.17
354.0,-0.68,9.36,2.22,4.19
357.0,-0.73,9.41,2.24,4.18
359.0,-0.68,9.4,2.26,4.19
362.0,-0.72,9.39,2.19,4.17
364.0,-0.71,9.44,2.29,4.19
367.0,-0.72,9.34,2.26,4.17
369.0,-0.77,9.36,2.2,4.17
372.0,-0.74,9.39,2.23,4.19
374.0,-0.74,9.36,2.19,4.19
377.0,-0.7,9.37,2.19,4.17
379.0,-0.72,9.38,2.17,4.17
382.0,-0.77,9.43,2.22,4.19
384.0,-0.72,9.44,2.12,4.17
387.0,-0.77,9.43,2.15,4.17
389.0,-0.78,9.42,2.12,4.17
392.0,-0.77,9.43,2.16,4.17
394.0,-0.81,9.41,2.2,4.19
397.0,-0.82,9.48,2.17,4.17
399.0,-0.79,9.45,2.24,4.17
402.0,-0.86,9.45,2.19,4.17
404.0,-0.84,9.47,2.16,4.18
407.0,-0.8,9.45,2.19,4.17
409.0,-0.86,9.46,2.16,4.19
412.0,-0.86,9.45,2.18,4.17
414.0,-0.84,9.46,2.19,4.17
417.0,-0.88,9.46,2.18,4.17
419.0,-0.89,9.47,2.19,4.17
422.0,-0.87,9.44,2.19,4.19
424.0,-0.95,9.45,2.27,4.17
427.0,-0.93,9.52,2.17,4.14
429.0,-0.87,9.49,2.21,4.17
432.0,-0.91,9.51,2.2,4.19
436.0,-0.93,9.54,2.21,4.17
439.0,-0.95,9.47,2.25,4.19
441.0,-0.83,9.49,2.28,4.17
444.0,-0.86,9.42,2.18,4.17
446.0,-0.87,9.47,2.17,4.19
449.0,-0.85,9.44,2.29,4.17
451.0,-0.91,9.43,2.24,4.17
454.0,-1.01,9.41,2.28,4.14
456.0,-0.96,9.42,2.32,4.17
459.0,-1.01,9.48,2.21,4.17
461.0,-1.07,9.52,2.23,4.19
