Date: 2025-05-05 06:29:31.906826, Time (UTC): 04:29:00, Latitude: 46.200785, Longitude: 20.107884
Date: 2025-05-05 06:53:55.818166, Time (UTC): 04:52:48, Latitude: 46.274414, Longitude: 20.097040
Date: 2025-05-05 07:14:02.599954, Time (UTC): 05:13:01, Latitude: 46.274560, Longitude: 20.096652
Date: 2025-05-05 07:36:53.634742, Time (UTC): 05:35:40, Latitude: 46.421521, Longitude: 19.954551
Date: 2025-05-05 07:57:06.564349, Time (UTC): 05:56:17, Latitude: 46.765755, Longitude: 19.765679
Date: 2025-05-05 08:18:13.252093, Time (UTC): 06:17:52, Latitude: 47.048673, Longitude: 19.561351
Date: 2025-05-05 08:41:01.927200, Time (UTC): 06:39:54, Latitude: 47.315444, Longitude: 19.263522
Date: 2025-05-05 09:02:27.353134, Time (UTC): 07:01:20, Latitude: 47.451753, Longitude: 19.119646
Date: 2025-05-05 09:23:34.757697, Time (UTC): 07:22:28, Latitude: 47.494584, Longitude: 19.108996
Date: 2025-05-05 09:48:42.189402, Time (UTC): 07:45:24, Latitude: 0.000000, Longitude: 0.000000
Date: 2025-05-05 10:13:49.723424, Time (UTC): 23:59:42, Latitude: 0.000000, Longitude: 0.000000
Date: 2025-05-05 10:38:56.332876, Time (UTC): 23:59:42, Latitude: 0.000000, Longitude: 0.000000
Date: 2025-05-05 11:04:02.840671, Time (UTC): 23:59:42, Latitude: 0.000000, Longitude: 0.000000
Date: 2025-05-05 11:29:12.318147, Time (UTC): 23:59:42, Latitude: 0.000000, Longitude: 0.000000
Date: 2025-05-05 11:49:19.312649, Time (UTC): 09:48:31, Latitude: 47.508727, Longitude: 19.101498
Date: 2025-05-05 12:11:58.154825, Time (UTC): 10:10:50, Latitude: 47.508959, Longitude: 19.102665
Date: 2025-05-05 12:33:06.586120, Time (UTC): 10:32:00, Latitude: 47.446556, Longitude: 19.125224
Date: 2025-05-05 12:53:18.281180, Time (UTC): 10:52:51, Latitude: 47.194968, Longitude: 19.424709
Date: 2025-05-05 13:14:24.661359, Time (UTC): 11:13:25, Latitude: 46.888275, Longitude: 19.626178
Date: 2025-05-05 13:35:44.337963, Time (UTC): 11:35:07, Latitude: 46.573112, Longitude: 19.873961
Date: 2025-05-05 16:42:31.002744, Time (UTC): 14:41:24, Latitude: 46.274188, Longitude: 20.097423
Date: 2025-05-05 17:04:21.885343, Time (UTC): 15:03:15, Latitude: 46.244122, Longitude: 20.121344
Date: 2025-05-05 17:24:34.755809, Time (UTC): 15:23:37, Latitude: 46.218357, Longitude: 20.110647
